event,jd,magnitude,magnitude error,upper limit,band,xxxxxxx,telescope,instrument
SN2005cf,2453522.38,15.49,0.235,F,U,,3.5m Telescopio Nazionale Galileo,DOLORES
SN2005cf,2453523.16,14.999,0.282,F,U,,2m Himalayan Chandra,HFOSC
SN2005cf,2453524.13,14.613,0.234,F,U,,2m Himalayan Chandra,HFOSC
SN2005cf,2453524.44,14.443,0.198,F,U,, 2.5m Nordic Optical Telescope,ALFOSC
SN2005cf,2453527.57,13.638,0.043,F,U,,3.5m Telescopio Nazionale Galileo,DOLORES
SN2005cf,2453529.24,13.533,0.063,F,U,,2m Himalayan Chandra,HFOSC
SN2005cf,2453530.38,13.399,0.05,F,U,, 2.5m Nordic Optical Telescope,ALFOSC
SN2005cf,2453530.38,13.47,0.063,F,U,,2m Himalayan Chandra,HFOSC
SN2005cf,2453533.13,13.41,0.078,F,U,,2m Himalayan Chandra,HFOSC
SN2005cf,2453533.5,13.32,0.067,F,U,, 2.5m Nordic Optical Telescope,ALFOSC
SN2005cf,2453533.99,13.423,0.044,F,U,,2.3m SSO,imager
SN2005cf,2453536.47,13.57,0.001,F,U,,1.2m Mercator,MEROPE
SN2005cf,2453538.19,13.645,0.112,F,U,,2m Himalayan Chandra,HFOSC
SN2005cf,2453538.36,13.54,0.155,F,U,,2.2m Calar Alto,CAFOS
SN2005cf,2453539.37,13.628,0.166,F,U,,2.2m Calar Alto,CAFOS
SN2005cf,2453540.41,13.714,0.178,F,U,,2.2m Calar Alto,CAFOS
SN2005cf,2453541.37,13.79,0.189,F,U,,2.2m Calar Alto,CAFOS
SN2005cf,2453542.26,13.909,0.158,F,U,,2m Himalayan Chandra,HFOSC
SN2005cf,2453542.53,13.831,0.201,F,U,,2.2m Calar Alto,CAFOS
SN2005cf,2453543.14,14.013,0.165,F,U,,2m Himalayan Chandra,HFOSC
SN2005cf,2453543.51,14.45,0.146,F,U,,1.2m Mercator,MEROPE
SN2005cf,2453545.13,14.246,0.177,F,U,,2m Himalayan Chandra,HFOSC
SN2005cf,2453546.3,14.296,0.179,F,U,,2m Himalayan Chandra,HFOSC
SN2005cf,2453546.36,14.294,0.219,F,U,,2.2m Calar Alto,CAFOS
SN2005cf,2453546.43,14.42,0.163,F,U,, 2.5m Nordic Optical Telescope,ALFOSC
SN2005cf,2453546.5,14.859,0.177,F,U,,1.2m Mercator,MEROPE
SN2005cf,2453547.45,14.409,0.219,F,U,,2.2m Calar Alto,CAFOS
SN2005cf,2453548.4,14.512,0.219,F,U,,2.2m Calar Alto,CAFOS
SN2005cf,2453550.37,14.858,0.219,F,U,,2.2m Calar Alto,CAFOS
SN2005cf,2453551.48,15.593,0.195,F,U,,1.2m Mercator,MEROPE
SN2005cf,2453553.37,15.275,0.218,F,U,,2.2m Calar Alto,CAFOS
SN2005cf,2453554.37,15.383,0.218,F,U,,2.2m Calar Alto,CAFOS
SN2005cf,2453555.47,16.099,0.209,F,U,,1.2m Mercator,MEROPE
SN2005cf,2453558.48,16.331,0.22,F,U,,1.2m Mercator,MEROPE
SN2005cf,2453559.19,15.957,0.183,F,U,,2m Himalayan Chandra,HFOSC
SN2005cf,2453559.49,16.059,0.166,F,U,, 2.5m Nordic Optical Telescope,ALFOSC
SN2005cf,2453562.48,16.645,0.234,F,U,,1.2m Mercator,MEROPE
SN2005cf,2453563.24,16.22,0.184,F,U,,2m Himalayan Chandra,HFOSC
SN2005cf,2453563.37,16.253,0.216,F,U,,2.2m Calar Alto,CAFOS
SN2005cf,2453564.37,16.324,0.215,F,U,,2.2m Calar Alto,CAFOS
SN2005cf,2453564.5,16.837,0.241,F,U,,1.2m Mercator,MEROPE
SN2005cf,2453569.57,16.831,0.065,F,U,,2.2m ESO/MPI,WFI
SN2005cf,2453571.6,16.945,0.066,F,U,,2.2m ESO/MPI,WFI
SN2005cf,2453573.55,16.965,0.066,F,U,,2.2m ESO/MPI,WFI
SN2005cf,2453575.2,16.753,0.19,F,U,,2m Himalayan Chandra,HFOSC
SN2005cf,2453575.51,17.002,0.066,F,U,,2.2m ESO/MPI,WFI
SN2005cf,2453578.55,17.086,0.065,F,U,,2.2m ESO/MPI,WFI
SN2005cf,2453581.61,17.152,0.064,F,U,,2.2m ESO/MPI,WFI
SN2005cf,2453583.41,16.996,0.182,F,U,, 2.5m Nordic Optical Telescope,ALFOSC
SN2005cf,2453587.14,16.997,0.201,F,U,,2m Himalayan Chandra,HFOSC
SN2005cf,2453587.56,17.258,0.062,F,U,,2.2m ESO/MPI,WFI
SN2005cf,2453590.56,17.3,0.061,F,U,,2.2m ESO/MPI,WFI
SN2005cf,2453595.5,17.369,0.061,F,U,,2.2m ESO/MPI,WFI
SN2005cf,2453598.38,17.275,0.187,F,U,, 2.5m Nordic Optical Telescope,ALFOSC
SN2005cf,2453611.38,17.41,0.235,F,U,,2.2m Calar Alto,CAFOS
SN2005cf,2453613.37,17.576,0.183,F,U,, 2.5m Nordic Optical Telescope,ALFOSC
SN2005cf,2453621.11,17.741,0.183,F,U,,2m Himalayan Chandra,HFOSC
SN2005cf,2453521.9,15.493,0.031,F,B,,SSO 40,WFI
SN2005cf,2453522.38,15.299,0.027,F,B,,3.5m Telescopio Nazionale Galileo,DOLORES
SN2005cf,2453522.97,15.044,0.032,F,B,,SSO 40,WFI
SN2005cf,2453523.16,14.934,0.01,F,B,,2m Himalayan Chandra,HFOSC
SN2005cf,2453524.13,14.609,0.009,F,B,,2m Himalayan Chandra,HFOSC
SN2005cf,2453524.44,14.582,0.021,F,B,, 2.5m Nordic Optical Telescope,ALFOSC
SN2005cf,2453524.97,14.425,0.033,F,B,,SSO 40,WFI
SN2005cf,2453525.25,14.348,0.009,F,B,,2m Himalayan Chandra,HFOSC
SN2005cf,2453526.35,14.139,0.008,F,B,,2m Himalayan Chandra,HFOSC
SN2005cf,2453527.57,13.924,0.026,F,B,,3.5m Telescopio Nazionale Galileo,DOLORES
SN2005cf,2453527.95,13.896,0.034,F,B,,SSO 40,WFI
SN2005cf,2453528.14,13.848,0.007,F,B,,2m Himalayan Chandra,HFOSC
SN2005cf,2453529.24,13.73,0.006,F,B,,2m Himalayan Chandra,HFOSC
SN2005cf,2453530.38,13.712,0.018,F,B,, 2.5m Nordic Optical Telescope,ALFOSC
SN2005cf,2453530.38,13.676,0.006,F,B,,2m Himalayan Chandra,HFOSC
SN2005cf,2453531.12,13.614,0.005,F,B,,2m Himalayan Chandra,HFOSC
SN2005cf,2453531.48,13.659,0.017,F,B,, 2.5m Nordic Optical Telescope,ALFOSC
SN2005cf,2453532.19,13.601,0.004,F,B,,2m Himalayan Chandra,HFOSC
SN2005cf,2453533.13,13.539,0.004,F,B,,2m Himalayan Chandra,HFOSC
SN2005cf,2453533.5,13.602,0.015,F,B,, 2.5m Nordic Optical Telescope,ALFOSC
SN2005cf,2453533.99,13.568,0.029,F,B,,2.3m SSO,imager
SN2005cf,2453536.47,13.602,0.008,F,B,,1.2m Mercator,MEROPE
SN2005cf,2453538.36,13.725,0.036,F,B,,2.2m Calar Alto,CAFOS
SN2005cf,2453539.21,13.723,0.003,F,B,,2m Himalayan Chandra,HFOSC
SN2005cf,2453539.37,13.798,0.034,F,B,,2.2m Calar Alto,CAFOS
SN2005cf,2453540.13,13.77,0.003,F,B,,2m Himalayan Chandra,HFOSC
SN2005cf,2453540.41,13.887,0.032,F,B,,2.2m Calar Alto,CAFOS
SN2005cf,2453541.37,13.929,0.03,F,B,,2.2m Calar Alto,CAFOS
SN2005cf,2453542.26,13.925,0.004,F,B,,2m Himalayan Chandra,HFOSC
SN2005cf,2453542.53,14.144,0.029,F,B,,2.2m Calar Alto,CAFOS
SN2005cf,2453543.14,14.05,0.005,F,B,,2m Himalayan Chandra,HFOSC
SN2005cf,2453543.51,14.065,0.012,F,B,,1.2m Mercator,MEROPE
SN2005cf,2453545.13,14.197,0.006,F,B,,2m Himalayan Chandra,HFOSC
SN2005cf,2453546.3,14.33,0.007,F,B,,2m Himalayan Chandra,HFOSC
SN2005cf,2453546.36,14.386,0.028,F,B,,2.2m Calar Alto,CAFOS
SN2005cf,2453546.43,14.368,0.007,F,B,, 2.5m Nordic Optical Telescope,ALFOSC
SN2005cf,2453546.5,14.376,0.014,F,B,,1.2m Mercator,MEROPE
SN2005cf,2453547.45,14.523,0.028,F,B,,2.2m Calar Alto,CAFOS
SN2005cf,2453548.4,14.626,0.029,F,B,,2.2m Calar Alto,CAFOS
SN2005cf,2453550.37,14.877,0.033,F,B,,2.2m Calar Alto,CAFOS
SN2005cf,2453551.48,14.919,0.019,F,B,,1.2m Mercator,MEROPE
SN2005cf,2453553.37,15.224,0.04,F,B,,2.2m Calar Alto,CAFOS
SN2005cf,2453554.37,15.307,0.042,F,B,,2.2m Calar Alto,CAFOS
SN2005cf,2453555.47,15.364,0.024,F,B,,1.2m Mercator,MEROPE
SN2005cf,2453558.48,15.64,0.024,F,B,,1.2m Mercator,MEROPE
SN2005cf,2453559.19,15.751,0.025,F,B,,2m Himalayan Chandra,HFOSC
SN2005cf,2453559.49,15.812,0.015,F,B,, 2.5m Nordic Optical Telescope,ALFOSC
SN2005cf,2453562.48,15.972,0.02,F,B,,1.2m Mercator,MEROPE
SN2005cf,2453563.24,16.079,0.026,F,B,,2m Himalayan Chandra,HFOSC
SN2005cf,2453563.37,16.135,0.067,F,B,,2.2m Calar Alto,CAFOS
SN2005cf,2453564.37,16.226,0.068,F,B,,2.2m Calar Alto,CAFOS
SN2005cf,2453564.5,16.113,0.018,F,B,,1.2m Mercator,MEROPE
SN2005cf,2453566.41,16.327,0.01,F,B,,1.82m Copernico,AFOSC
SN2005cf,2453569.57,16.592,0.096,F,B,,2.2m ESO/MPI,WFI
SN2005cf,2453571.6,16.684,0.097,F,B,,2.2m ESO/MPI,WFI
SN2005cf,2453572.21,16.616,0.023,F,B,,2m Himalayan Chandra,HFOSC
SN2005cf,2453573.55,16.753,0.097,F,B,,2.2m ESO/MPI,WFI
SN2005cf,2453575.2,16.66,0.02,F,B,,2m Himalayan Chandra,HFOSC
SN2005cf,2453575.51,16.799,0.096,F,B,,2.2m ESO/MPI,WFI
SN2005cf,2453578.55,16.891,0.094,F,B,,2.2m ESO/MPI,WFI
SN2005cf,2453581.61,16.914,0.091,F,B,,2.2m ESO/MPI,WFI
SN2005cf,2453583.41,16.862,0.014,F,B,, 2.5m Nordic Optical Telescope,ALFOSC
SN2005cf,2453584.2,16.833,0.022,F,B,,2m Himalayan Chandra,HFOSC
SN2005cf,2453587.14,16.897,0.025,F,B,,2m Himalayan Chandra,HFOSC
SN2005cf,2453587.56,17.005,0.092,F,B,,2.2m ESO/MPI,WFI
SN2005cf,2453590.56,17.076,0.092,F,B,,2.2m ESO/MPI,WFI
SN2005cf,2453591.13,16.97,0.027,F,B,,2m Himalayan Chandra,HFOSC
SN2005cf,2453595.5,17.094,0.089,F,B,,2.2m ESO/MPI,WFI
SN2005cf,2453598.38,17.096,0.008,F,B,, 2.5m Nordic Optical Telescope,ALFOSC
SN2005cf,2453604.15,17.192,0.022,F,B,,2m Himalayan Chandra,HFOSC
SN2005cf,2453611.38,17.294,0.003,F,B,,2.2m Calar Alto,CAFOS
SN2005cf,2453613.37,17.293,0.023,F,B,, 2.5m Nordic Optical Telescope,ALFOSC
SN2005cf,2453617.1,17.341,0,F,B,,2m Himalayan Chandra,HFOSC
SN2005cf,2453621.11,17.412,0.009,F,B,,2m Himalayan Chandra,HFOSC
SN2005cf,2453521.9,15.243,0.005,F,V,,SSO 40,WFI
SN2005cf,2453522.38,15.127,0.03,F,V,,3.5m Telescopio Nazionale Galileo,DOLORES
SN2005cf,2453522.97,14.902,0.004,F,V,,SSO 40,WFI
SN2005cf,2453523.16,14.913,0.011,F,V,,2m Himalayan Chandra,HFOSC
SN2005cf,2453524.13,14.658,0.009,F,V,,2m Himalayan Chandra,HFOSC
SN2005cf,2453524.44,14.514,0.007,F,V,, 2.5m Nordic Optical Telescope,ALFOSC
SN2005cf,2453524.97,14.382,0.003,F,V,,SSO 40,WFI
SN2005cf,2453525.25,14.373,0.006,F,V,,2m Himalayan Chandra,HFOSC
SN2005cf,2453526.35,14.189,0.004,F,V,,2m Himalayan Chandra,HFOSC
SN2005cf,2453527.57,13.943,0.034,F,V,,3.5m Telescopio Nazionale Galileo,DOLORES
SN2005cf,2453527.95,13.896,0.002,F,V,,SSO 40,WFI
