tab	magic_measurements
er_specimen_name	er_sample_name	er_site_name	er_location_name	magic_experiment_name	measurement_number	measurement_inc	measurement_positions	measurement_dec	measurement_sd_z	magic_method_codes	treatment_temp	measurement_temp	measurement_standard	treatment_ac_field	magic_instrument_codes	treatment_dc_field_phi	treatment_dc_field_theta	measurement_description	measurement_sd_x	er_analyst_mail_names	er_citation_names	treatment_dc_field	magic_software_packages	measurement_csd	measurement_sd_y	measurement_flag	measurement_magn_moment
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	1	-53.2	1	37.2	2.14e-09	LT-NO:LP-DIR-T	273	273		0					1.35e-08		This study	0	pmagpy-3.2.1	2.3	8.63e-09	g	3.93e-07
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	2	-50.9	1	36.7	2.78e-09	LT-LT-Z:LP-DIR-T	77	273		0					1.25e-08		This study	0	pmagpy-3.2.1	2.0	7.51e-09	g	4.29e-07
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	3	-48.5	1	34.8	3.42e-09	LT-T-Z:LP-DIR-T	373.0	273		0					1.65e-08		This study	0	pmagpy-3.2.1	2.3	1.28e-08	g	5.32e-07
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	4	-47.6	1	029.3	1.04e-08	LT-T-Z:LP-DIR-T	423.0	273		0	hargrave 2014-10-22 15:53:24				2.39e-08		This study	0	pmagpy-3.2.1	3.0	2.34e-08	g	6.71e-07
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	5	-47.3	1	028.6	7.42e-09	LT-T-Z:LP-DIR-T	473.0	273		0	hargrave 2014-10-27 16:19:50				2.00e-08		This study	0	pmagpy-3.2.1	2.2	1.31e-08	g	6.55e-07
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	6	-49.3	1	028.5	4.18e-09	LT-T-Z:LP-DIR-T	523.0	273		0	hargrave 2014-10-28 13:42:19				1.81e-08		This study	0	pmagpy-3.2.1	3.1	2.17e-08	g	5.27e-07
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	7	-52.8	1	034.0	2.98e-09	LT-T-Z:LP-DIR-T	573.0	273		0	hargrave 2014-10-28 20:40:03				1.42e-08		This study	0	pmagpy-3.2.1	3.0	1.36e-08	g	3.81e-07
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	8	-57.3	1	040.3	1.87e-09	LT-T-Z:LP-DIR-T	623.0	273		0	hargrave 2014-10-29 20:53:02				7.58e-09		This study	0	pmagpy-3.2.1	2.0	3.67e-09	g	2.40e-07
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	9	-58.4	1	043.8	1.36e-09	LT-T-Z:LP-DIR-T	673.0	273		0	hargrave 2014-11-03 17:13:00				9.19e-09		This study	0	pmagpy-3.2.1	3.2	5.83e-09	g	1.97e-07
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	10	-59.9	1	046.8	1.36e-09	LT-T-Z:LP-DIR-T	698.0	273		0	hargrave 2014-11-04 12:03:42				5.82e-09		This study	0	pmagpy-3.2.1	2.1	2.86e-09	g	1.78e-07
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	11	-61.0	1	049.9	8.90e-10	LT-T-Z:LP-DIR-T	723.0	273		0	hargrave 2014-11-10 12:53:05				5.48e-09		This study	0	pmagpy-3.2.1	2.3	3.62e-09	g	1.64e-07
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	12	-63.2	1	053.3	5.24e-10	LT-T-Z:LP-DIR-T	748.0	273		0	hargrave 2014-11-10 22:11:56				3.62e-09		This study	0	pmagpy-3.2.1	1.7	2.88e-09	g	1.52e-07
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	13	-64.0	1	059.3	1.20e-09	LT-T-Z:LP-DIR-T	773.0	273		0	hargrave 2014-11-13 11:46:05				5.59e-09		This study	0	pmagpy-3.2.1	2.7	3.57e-09	g	1.41e-07
